['-0.01', '+0.93', '-0.47', '-0.26', '+0.01', '+0.07', '+0.00', '+0.00', 3]
['-0.10', '+0.42', '-0.03', '-0.46', '-0.18', '+0.01', '+0.00', '+0.00', 2]
['-0.10', '+0.41', '-0.03', '-0.49', '-0.18', '+0.01', '+0.00', '+0.00', 0]
['-0.10', '+0.40', '-0.00', '-0.45', '-0.18', '+0.02', '+0.00', '+0.00', 2]
['-0.10', '+0.40', '-0.00', '-0.44', '-0.18', '+0.01', '+0.00', '+0.00', 2]
['-0.10', '+0.39', '-0.01', '-0.46', '-0.18', '+0.06', '+0.00', '+0.00', 1]
['-0.10', '+0.38', '+0.01', '-0.44', '-0.17', '+0.07', '+0.00', '+0.00', 2]
['-0.10', '+0.38', '+0.01', '-0.43', '-0.17', '+0.06', '+0.00', '+0.00', 2]
['-0.10', '+0.37', '+0.01', '-0.42', '-0.17', '+0.05', '+0.00', '+0.00', 2]
['-0.10', '+0.37', '+0.03', '-0.40', '-0.17', '+0.05', '+0.00', '+0.00', 2]
['-0.10', '+0.36', '+0.03', '-0.43', '-0.16', '+0.05', '+0.00', '+0.00', 0]
['-0.10', '+0.35', '+0.04', '-0.43', '-0.16', '+0.06', '+0.00', '+0.00', 2]
['-0.10', '+0.35', '+0.06', '-0.41', '-0.16', '+0.06', '+0.00', '+0.00', 2]
['-0.10', '+0.34', '+0.07', '-0.37', '-0.15', '+0.06', '+0.00', '+0.00', 2]
['-0.10', '+0.34', '+0.07', '-0.40', '-0.15', '+0.06', '+0.00', '+0.00', 0]
['-0.10', '+0.33', '+0.07', '-0.40', '-0.15', '+0.06', '+0.00', '+0.00', 2]
['-0.10', '+0.32', '+0.09', '-0.37', '-0.15', '+0.06', '+0.00', '+0.00', 2]
['-0.10', '+0.32', '+0.11', '-0.34', '-0.14', '+0.07', '+0.00', '+0.00', 2]
['-0.09', '+0.31', '+0.11', '-0.37', '-0.14', '+0.07', '+0.00', '+0.00', 0]
['-0.09', '+0.31', '+0.12', '-0.36', '-0.13', '+0.07', '+0.00', '+0.00', 2]
['-0.09', '+0.30', '+0.11', '-0.36', '-0.13', '+0.06', '+0.00', '+0.00', 2]
['-0.09', '+0.30', '+0.11', '-0.34', '-0.13', '+0.05', '+0.00', '+0.00', 2]
['-0.09', '+0.29', '+0.11', '-0.37', '-0.13', '+0.05', '+0.00', '+0.00', 0]
['-0.09', '+0.29', '+0.12', '-0.36', '-0.12', '+0.05', '+0.00', '+0.00', 2]
['-0.09', '+0.28', '+0.14', '-0.35', '-0.12', '+0.07', '+0.00', '+0.00', 2]
['-0.09', '+0.28', '+0.17', '-0.31', '-0.12', '+0.08', '+0.00', '+0.00', 2]
['-0.08', '+0.27', '+0.17', '-0.34', '-0.11', '+0.08', '+0.00', '+0.00', 0]
['-0.08', '+0.27', '+0.17', '-0.33', '-0.11', '+0.08', '+0.00', '+0.00', 2]
['-0.08', '+0.26', '+0.16', '-0.33', '-0.11', '+0.06', '+0.00', '+0.00', 2]
['-0.08', '+0.26', '+0.17', '-0.31', '-0.10', '+0.06', '+0.00', '+0.00', 2]
['-0.08', '+0.25', '+0.16', '-0.34', '-0.10', '+0.10', '+0.00', '+0.00', 1]
['-0.08', '+0.25', '+0.16', '-0.34', '-0.09', '+0.10', '+0.00', '+0.00', 2]
['-0.07', '+0.24', '+0.18', '-0.33', '-0.09', '+0.11', '+0.00', '+0.00', 2]
['-0.07', '+0.24', '+0.18', '-0.30', '-0.08', '+0.10', '+0.00', '+0.00', 2]
['-0.07', '+0.23', '+0.18', '-0.28', '-0.08', '+0.09', '+0.00', '+0.00', 2]
['-0.07', '+0.23', '+0.18', '-0.30', '-0.07', '+0.09', '+0.00', '+0.00', 0]
['-0.07', '+0.22', '+0.18', '-0.30', '-0.07', '+0.09', '+0.00', '+0.00', 2]
['-0.06', '+0.22', '+0.18', '-0.30', '-0.07', '+0.09', '+0.00', '+0.00', 2]
['-0.06', '+0.21', '+0.17', '-0.28', '-0.06', '+0.07', '+0.00', '+0.00', 2]
['-0.06', '+0.21', '+0.19', '-0.25', '-0.06', '+0.08', '+0.00', '+0.00', 2]
['-0.06', '+0.21', '+0.19', '-0.28', '-0.05', '+0.08', '+0.00', '+0.00', 0]
['-0.06', '+0.20', '+0.19', '-0.25', '-0.05', '+0.08', '+0.00', '+0.00', 2]
['-0.06', '+0.20', '+0.19', '-0.27', '-0.05', '+0.08', '+0.00', '+0.00', 0]
['-0.05', '+0.20', '+0.19', '-0.25', '-0.04', '+0.08', '+0.00', '+0.00', 2]
['-0.05', '+0.19', '+0.19', '-0.27', '-0.04', '+0.08', '+0.00', '+0.00', 0]
['-0.05', '+0.19', '+0.19', '-0.25', '-0.03', '+0.08', '+0.00', '+0.00', 2]
['-0.05', '+0.18', '+0.19', '-0.28', '-0.03', '+0.08', '+0.00', '+0.00', 0]
['-0.05', '+0.18', '+0.21', '-0.27', '-0.02', '+0.10', '+0.00', '+0.00', 2]
['-0.04', '+0.18', '+0.20', '-0.23', '-0.02', '+0.09', '+0.00', '+0.00', 2]
['-0.04', '+0.17', '+0.20', '-0.25', '-0.01', '+0.09', '+0.00', '+0.00', 0]
['-0.04', '+0.17', '+0.20', '-0.25', '-0.01', '+0.08', '+0.00', '+0.00', 2]
['-0.04', '+0.16', '+0.20', '-0.27', '-0.01', '+0.08', '+0.00', '+0.00', 0]
['-0.04', '+0.16', '+0.19', '-0.27', '-0.00', '+0.08', '+0.00', '+0.00', 2]
['-0.03', '+0.16', '+0.20', '-0.25', '+0.00', '+0.08', '+0.00', '+0.00', 2]
['-0.03', '+0.15', '+0.20', '-0.21', '+0.01', '+0.09', '+0.00', '+0.00', 2]
['-0.03', '+0.15', '+0.20', '-0.24', '+0.01', '+0.09', '+0.00', '+0.00', 0]
['-0.03', '+0.15', '+0.22', '-0.22', '+0.01', '+0.10', '+0.00', '+0.00', 2]
['-0.02', '+0.14', '+0.22', '-0.24', '+0.02', '+0.10', '+0.00', '+0.00', 0]
['-0.02', '+0.14', '+0.20', '-0.23', '+0.02', '+0.09', '+0.00', '+0.00', 2]
['-0.02', '+0.14', '+0.20', '-0.20', '+0.03', '+0.09', '+0.00', '+0.00', 2]
['-0.02', '+0.13', '+0.20', '-0.23', '+0.03', '+0.09', '+0.00', '+0.00', 0]
['-0.02', '+0.13', '+0.21', '-0.22', '+0.04', '+0.10', '+0.00', '+0.00', 2]
['-0.01', '+0.13', '+0.21', '-0.25', '+0.04', '+0.10', '+0.00', '+0.00', 0]
['-0.01', '+0.12', '+0.21', '-0.23', '+0.05', '+0.10', '+0.00', '+0.00', 2]
['-0.01', '+0.12', '+0.19', '-0.23', '+0.05', '+0.08', '+0.00', '+0.00', 2]
['-0.01', '+0.12', '+0.18', '-0.22', '+0.06', '+0.08', '+0.00', '+0.00', 2]
['-0.01', '+0.11', '+0.17', '-0.20', '+0.06', '+0.08', '+0.00', '+0.00', 2]
['-0.00', '+0.11', '+0.17', '-0.22', '+0.06', '+0.08', '+0.00', '+0.00', 0]
['-0.00', '+0.11', '+0.18', '-0.18', '+0.07', '+0.09', '+0.00', '+0.00', 2]
['-0.00', '+0.10', '+0.18', '-0.21', '+0.07', '+0.09', '+0.00', '+0.00', 0]
['+0.00', '+0.10', '+0.17', '-0.20', '+0.08', '+0.08', '+0.00', '+0.00', 2]
['+0.00', '+0.10', '+0.16', '-0.20', '+0.08', '+0.08', '+0.00', '+0.00', 2]
['+0.00', '+0.09', '+0.15', '-0.18', '+0.08', '+0.07', '+0.00', '+0.00', 2]
['+0.01', '+0.09', '+0.15', '-0.21', '+0.09', '+0.07', '+0.00', '+0.00', 0]
['+0.01', '+0.09', '+0.16', '-0.21', '+0.09', '+0.08', '+0.00', '+0.00', 2]
['+0.01', '+0.09', '+0.16', '-0.19', '+0.10', '+0.09', '+0.00', '+0.00', 2]
['+0.01', '+0.08', '+0.14', '-0.19', '+0.10', '+0.07', '+0.00', '+0.00', 2]
['+0.01', '+0.08', '+0.14', '-0.16', '+0.10', '+0.08', '+0.00', '+0.00', 2]
['+0.01', '+0.08', '+0.15', '-0.18', '+0.11', '+0.03', '+0.00', '+0.00', 3]
['+0.01', '+0.08', '+0.15', '-0.16', '+0.11', '+0.05', '+0.00', '+0.00', 2]
['+0.02', '+0.07', '+0.15', '-0.19', '+0.11', '+0.05', '+0.00', '+0.00', 0]
['+0.02', '+0.07', '+0.14', '-0.16', '+0.11', '+0.04', '+0.00', '+0.00', 2]
['+0.02', '+0.07', '+0.15', '-0.16', '+0.11', '+0.06', '+0.00', '+0.00', 2]
['+0.02', '+0.07', '+0.14', '-0.16', '+0.12', '+0.05', '+0.00', '+0.00', 2]
['+0.02', '+0.06', '+0.15', '-0.15', '+0.12', '+0.07', '+0.00', '+0.00', 2]
['+0.02', '+0.06', '+0.15', '-0.18', '+0.12', '+0.07', '+0.00', '+0.00', 0]
['+0.03', '+0.06', '+0.14', '-0.14', '+0.13', '+0.07', '+0.00', '+0.00', 2]
['+0.03', '+0.06', '+0.15', '-0.16', '+0.13', '+0.03', '+0.00', '+0.00', 3]
['+0.03', '+0.05', '+0.13', '-0.15', '+0.13', '+0.01', '+0.00', '+0.00', 2]
['+0.03', '+0.05', '+0.13', '-0.15', '+0.13', '+0.01', '+0.00', '+0.00', 2]
['+0.03', '+0.05', '+0.11', '-0.15', '+0.13', '+0.00', '+0.00', '+0.00', 2]
['+0.03', '+0.05', '+0.12', '-0.12', '+0.13', '+0.02', '+0.00', '+0.00', 2]
['+0.03', '+0.04', '+0.12', '-0.15', '+0.13', '+0.02', '+0.00', '+0.00', 0]
['+0.03', '+0.04', '+0.10', '-0.11', '+0.13', '+0.01', '+0.00', '+0.00', 2]
['+0.04', '+0.04', '+0.10', '-0.14', '+0.13', '+0.01', '+0.00', '+0.00', 0]
['+0.04', '+0.04', '+0.08', '-0.14', '+0.13', '+0.00', '+0.00', '+0.00', 2]
['+0.04', '+0.04', '+0.09', '-0.13', '+0.13', '+0.01', '+0.00', '+0.00', 2]
['+0.04', '+0.04', '+0.07', '-0.11', '+0.13', '+0.00', '+0.00', '+0.00', 2]
['+0.04', '+0.03', '+0.07', '-0.14', '+0.13', '+0.00', '+0.00', '+0.00', 0]
['+0.04', '+0.03', '+0.04', '-0.11', '+0.13', '-0.01', '+0.00', '+0.00', 2]
['+0.04', '+0.03', '+0.04', '-0.13', '+0.13', '-0.01', '+0.00', '+0.00', 0]
['+0.04', '+0.03', '+0.03', '-0.12', '+0.13', '-0.01', '+0.00', '+0.00', 2]
['+0.04', '+0.03', '+0.03', '-0.07', '+0.13', '+0.00', '+0.00', '+0.00', 2]
['+0.04', '+0.03', '+0.03', '-0.10', '+0.13', '+0.00', '+0.00', '+0.00', 0]
['+0.04', '+0.02', '+0.03', '-0.13', '+0.13', '+0.00', '+0.00', '+0.00', 0]
['+0.04', '+0.02', '+0.03', '-0.12', '+0.13', '+0.00', '+0.00', '+0.00', 2]
['+0.04', '+0.02', '-0.00', '-0.10', '+0.13', '-0.01', '+0.00', '+0.00', 2]
['+0.04', '+0.02', '-0.00', '-0.12', '+0.13', '-0.01', '+0.00', '+0.00', 0]
['+0.04', '+0.02', '+0.00', '-0.11', '+0.13', '-0.00', '+0.00', '+0.00', 2]
['+0.04', '+0.02', '+0.01', '-0.07', '+0.13', '+0.02', '+0.00', '+0.00', 2]
['+0.04', '+0.01', '+0.02', '-0.09', '+0.13', '-0.03', '+0.00', '+0.00', 3]
['+0.04', '+0.01', '+0.01', '-0.07', '+0.13', '-0.03', '+0.00', '+0.00', 2]
['+0.04', '+0.01', '+0.01', '-0.10', '+0.13', '-0.03', '+0.00', '+0.00', 0]
['+0.04', '+0.01', '+0.00', '-0.06', '+0.13', '-0.02', '+0.00', '+0.00', 2]
['+0.04', '+0.01', '+0.00', '-0.08', '+0.13', '-0.02', '+0.00', '+0.00', 0]
['+0.04', '+0.01', '+0.01', '-0.08', '+0.11', '-0.32', '+0.00', '+1.00', 0]
['+0.04', '+0.01', '+0.01', '-0.10', '+0.09', '-0.39', '+0.00', '+1.00', 0]
['+0.04', '+0.01', '+0.02', '-0.07', '+0.07', '-0.38', '+0.00', '+1.00', 2]
['+0.04', '+0.00', '+0.02', '-0.10', '+0.05', '-0.38', '+0.00', '+1.00', 0]
['+0.04', '+0.00', '+0.02', '-0.08', '+0.03', '-0.38', '+0.00', '+1.00', 2]
['+0.04', '+0.00', '+0.02', '-0.11', '+0.02', '-0.38', '+0.00', '+0.00', 0]
['+0.04', '-0.00', '+0.01', '-0.13', '-0.01', '-0.45', '+0.00', '+1.00', 1]
['+0.04', '-0.00', '+0.00', '-0.05', '-0.02', '-0.19', '+1.00', '+1.00', 2]
['+0.04', '-0.00', '+0.00', '-0.03', '-0.02', '-0.11', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.01', '-0.02', '-0.02', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.01', '-0.02', '+0.04', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.02', '-0.02', '+0.08', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.03', '-0.01', '+0.11', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.04', '-0.01', '+0.12', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.01', '+0.00', '+0.11', '+1.00', '+0.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '-0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['+0.04', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['+0.01', '+0.92', '+0.51', '-0.54', '-0.01', '-0.08', '+0.00', '+0.00', 1]
['+0.02', '+0.92', '+0.50', '-0.57', '-0.01', '-0.04', '+0.00', '+0.00', 1]
['+0.02', '+0.91', '+0.49', '-0.60', '-0.01', '+0.01', '+0.00', '+0.00', 1]
['+0.03', '+0.90', '+0.48', '-0.62', '-0.01', '+0.04', '+0.00', '+0.00', 1]
['+0.03', '+0.89', '+0.47', '-0.65', '-0.01', '+0.08', '+0.00', '+0.00', 1]
['+0.03', '+0.88', '+0.46', '-0.68', '+0.00', '+0.12', '+0.00', '+0.00', 1]
['+0.04', '+0.87', '+0.45', '-0.70', '+0.01', '+0.16', '+0.00', '+0.00', 1]
['+0.04', '+0.86', '+0.45', '-0.73', '+0.02', '+0.16', '+0.00', '+0.00', 0]
['+0.05', '+0.85', '+0.45', '-0.76', '+0.02', '+0.16', '+0.00', '+0.00', 0]
['+0.05', '+0.83', '+0.45', '-0.78', '+0.03', '+0.16', '+0.00', '+0.00', 0]
['+0.06', '+0.82', '+0.45', '-0.81', '+0.04', '+0.16', '+0.00', '+0.00', 0]
['+0.06', '+0.81', '+0.45', '-0.84', '+0.05', '+0.16', '+0.00', '+0.00', 0]
['+0.07', '+0.80', '+0.45', '-0.86', '+0.06', '+0.16', '+0.00', '+0.00', 0]
['+0.07', '+0.78', '+0.45', '-0.85', '+0.06', '+0.15', '+0.00', '+0.00', 2]
['+0.08', '+0.77', '+0.43', '-0.82', '+0.07', '+0.15', '+0.00', '+0.00', 2]
['+0.08', '+0.76', '+0.43', '-0.84', '+0.08', '+0.15', '+0.00', '+0.00', 0]
['+0.08', '+0.75', '+0.41', '-0.80', '+0.09', '+0.13', '+0.00', '+0.00', 2]
['+0.09', '+0.73', '+0.42', '-0.77', '+0.09', '+0.14', '+0.00', '+0.00', 2]
['+0.09', '+0.72', '+0.42', '-0.80', '+0.10', '+0.14', '+0.00', '+0.00', 0]
['+0.10', '+0.71', '+0.41', '-0.77', '+0.11', '+0.15', '+0.00', '+0.00', 2]
['+0.10', '+0.70', '+0.42', '-0.77', '+0.11', '+0.16', '+0.00', '+0.00', 2]
['+0.11', '+0.69', '+0.40', '-0.74', '+0.12', '+0.15', '+0.00', '+0.00', 2]
['+0.11', '+0.68', '+0.39', '-0.73', '+0.13', '+0.15', '+0.00', '+0.00', 2]
['+0.11', '+0.67', '+0.38', '-0.72', '+0.14', '+0.15', '+0.00', '+0.00', 2]
['+0.12', '+0.66', '+0.37', '-0.72', '+0.14', '+0.14', '+0.00', '+0.00', 2]
['+0.12', '+0.64', '+0.37', '-0.72', '+0.15', '+0.15', '+0.00', '+0.00', 2]
['+0.12', '+0.63', '+0.37', '-0.70', '+0.16', '+0.16', '+0.00', '+0.00', 2]
['+0.13', '+0.62', '+0.36', '-0.69', '+0.17', '+0.15', '+0.00', '+0.00', 2]
['+0.13', '+0.61', '+0.34', '-0.66', '+0.17', '+0.15', '+0.00', '+0.00', 2]
['+0.14', '+0.60', '+0.34', '-0.63', '+0.18', '+0.17', '+0.00', '+0.00', 2]
['+0.14', '+0.60', '+0.35', '-0.66', '+0.19', '+0.13', '+0.00', '+0.00', 3]
['+0.14', '+0.59', '+0.35', '-0.62', '+0.20', '+0.15', '+0.00', '+0.00', 2]
['+0.15', '+0.58', '+0.34', '-0.60', '+0.20', '+0.15', '+0.00', '+0.00', 2]
['+0.15', '+0.57', '+0.32', '-0.59', '+0.21', '+0.15', '+0.00', '+0.00', 2]
['+0.15', '+0.56', '+0.34', '-0.62', '+0.22', '+0.10', '+0.00', '+0.00', 3]
['+0.16', '+0.55', '+0.31', '-0.58', '+0.22', '+0.10', '+0.00', '+0.00', 2]
['+0.16', '+0.54', '+0.29', '-0.57', '+0.23', '+0.09', '+0.00', '+0.00', 2]
['+0.16', '+0.53', '+0.27', '-0.55', '+0.23', '+0.08', '+0.00', '+0.00', 2]
['+0.16', '+0.53', '+0.25', '-0.53', '+0.24', '+0.08', '+0.00', '+0.00', 2]
['+0.17', '+0.52', '+0.25', '-0.55', '+0.24', '+0.08', '+0.00', '+0.00', 0]
['+0.17', '+0.51', '+0.24', '-0.53', '+0.24', '+0.09', '+0.00', '+0.00', 2]
['+0.17', '+0.50', '+0.22', '-0.53', '+0.25', '+0.08', '+0.00', '+0.00', 2]
['+0.17', '+0.49', '+0.19', '-0.50', '+0.25', '+0.07', '+0.00', '+0.00', 2]
['+0.18', '+0.49', '+0.20', '-0.53', '+0.25', '+0.03', '+0.00', '+0.00', 3]
['+0.18', '+0.48', '+0.18', '-0.50', '+0.25', '+0.03', '+0.00', '+0.00', 2]
['+0.18', '+0.47', '+0.17', '-0.48', '+0.26', '+0.03', '+0.00', '+0.00', 2]
['+0.18', '+0.46', '+0.14', '-0.47', '+0.26', '+0.01', '+0.00', '+0.00', 2]
['+0.18', '+0.46', '+0.13', '-0.46', '+0.26', '+0.02', '+0.00', '+0.00', 2]
['+0.18', '+0.45', '+0.13', '-0.48', '+0.26', '+0.02', '+0.00', '+0.00', 0]
['+0.18', '+0.44', '+0.11', '-0.47', '+0.26', '+0.02', '+0.00', '+0.00', 2]
['+0.18', '+0.44', '+0.09', '-0.44', '+0.26', '+0.02', '+0.00', '+0.00', 2]
['+0.19', '+0.43', '+0.10', '-0.47', '+0.26', '-0.02', '+0.00', '+0.00', 3]
['+0.19', '+0.42', '+0.07', '-0.46', '+0.26', '-0.03', '+0.00', '+0.00', 2]
['+0.19', '+0.42', '+0.05', '-0.42', '+0.26', '-0.03', '+0.00', '+0.00', 2]
['+0.19', '+0.41', '+0.03', '-0.42', '+0.25', '-0.04', '+0.00', '+0.00', 2]
['+0.19', '+0.40', '+0.02', '-0.41', '+0.25', '-0.04', '+0.00', '+0.00', 2]
['+0.19', '+0.40', '+0.01', '-0.38', '+0.25', '-0.03', '+0.00', '+0.00', 2]
['+0.19', '+0.39', '+0.01', '-0.41', '+0.25', '-0.03', '+0.00', '+0.00', 0]
['+0.19', '+0.39', '-0.02', '-0.38', '+0.25', '-0.03', '+0.00', '+0.00', 2]
['+0.19', '+0.38', '-0.01', '-0.41', '+0.24', '-0.07', '+0.00', '+0.00', 3]
['+0.19', '+0.37', '-0.01', '-0.41', '+0.24', '-0.06', '+0.00', '+0.00', 2]
['+0.19', '+0.37', '-0.01', '-0.39', '+0.24', '-0.05', '+0.00', '+0.00', 2]
['+0.19', '+0.36', '-0.05', '-0.36', '+0.24', '-0.06', '+0.00', '+0.00', 2]
['+0.19', '+0.36', '-0.07', '-0.35', '+0.23', '-0.07', '+0.00', '+0.00', 2]
['+0.18', '+0.35', '-0.07', '-0.37', '+0.23', '-0.07', '+0.00', '+0.00', 0]
['+0.18', '+0.35', '-0.10', '-0.37', '+0.22', '-0.09', '+0.00', '+0.00', 2]
['+0.18', '+0.34', '-0.11', '-0.37', '+0.22', '-0.08', '+0.00', '+0.00', 2]
['+0.18', '+0.33', '-0.12', '-0.35', '+0.22', '-0.08', '+0.00', '+0.00', 2]
['+0.18', '+0.33', '-0.16', '-0.31', '+0.21', '-0.10', '+0.00', '+0.00', 2]
['+0.18', '+0.33', '-0.16', '-0.33', '+0.21', '-0.10', '+0.00', '+0.00', 0]
['+0.18', '+0.32', '-0.16', '-0.33', '+0.20', '-0.09', '+0.00', '+0.00', 2]
['+0.17', '+0.32', '-0.19', '-0.32', '+0.20', '-0.10', '+0.00', '+0.00', 2]
['+0.17', '+0.31', '-0.19', '-0.34', '+0.19', '-0.10', '+0.00', '+0.00', 0]
['+0.17', '+0.31', '-0.21', '-0.31', '+0.19', '-0.11', '+0.00', '+0.00', 2]
['+0.17', '+0.30', '-0.21', '-0.33', '+0.18', '-0.11', '+0.00', '+0.00', 0]
['+0.17', '+0.30', '-0.24', '-0.29', '+0.18', '-0.12', '+0.00', '+0.00', 2]
['+0.16', '+0.29', '-0.24', '-0.32', '+0.17', '-0.12', '+0.00', '+0.00', 0]
['+0.16', '+0.29', '-0.26', '-0.29', '+0.16', '-0.12', '+0.00', '+0.00', 2]
['+0.16', '+0.28', '-0.25', '-0.31', '+0.16', '-0.16', '+0.00', '+0.00', 3]
['+0.16', '+0.28', '-0.25', '-0.31', '+0.15', '-0.15', '+0.00', '+0.00', 2]
['+0.15', '+0.27', '-0.26', '-0.28', '+0.14', '-0.15', '+0.00', '+0.00', 2]
['+0.15', '+0.27', '-0.26', '-0.30', '+0.13', '-0.15', '+0.00', '+0.00', 0]
['+0.15', '+0.26', '-0.26', '-0.29', '+0.13', '-0.14', '+0.00', '+0.00', 2]
['+0.14', '+0.26', '-0.27', '-0.28', '+0.12', '-0.15', '+0.00', '+0.00', 2]
['+0.14', '+0.26', '-0.27', '-0.30', '+0.11', '-0.15', '+0.00', '+0.00', 0]
['+0.14', '+0.25', '-0.27', '-0.30', '+0.10', '-0.14', '+0.00', '+0.00', 2]
['+0.14', '+0.25', '-0.29', '-0.26', '+0.10', '-0.14', '+0.00', '+0.00', 2]
['+0.13', '+0.24', '-0.29', '-0.29', '+0.09', '-0.14', '+0.00', '+0.00', 0]
['+0.13', '+0.24', '-0.28', '-0.25', '+0.08', '-0.13', '+0.00', '+0.00', 2]
['+0.13', '+0.24', '-0.28', '-0.28', '+0.08', '-0.13', '+0.00', '+0.00', 0]
['+0.12', '+0.23', '-0.27', '-0.25', '+0.07', '-0.12', '+0.00', '+0.00', 2]
['+0.12', '+0.23', '-0.27', '-0.28', '+0.07', '-0.12', '+0.00', '+0.00', 0]
['+0.12', '+0.22', '-0.29', '-0.28', '+0.06', '-0.13', '+0.00', '+0.00', 2]
['+0.12', '+0.22', '-0.29', '-0.27', '+0.05', '-0.13', '+0.00', '+0.00', 2]
['+0.11', '+0.22', '-0.28', '-0.25', '+0.05', '-0.12', '+0.00', '+0.00', 2]
['+0.11', '+0.21', '-0.28', '-0.27', '+0.04', '-0.12', '+0.00', '+0.00', 0]
['+0.11', '+0.21', '-0.28', '-0.26', '+0.04', '-0.11', '+0.00', '+0.00', 2]
['+0.10', '+0.20', '-0.27', '-0.22', '+0.03', '-0.10', '+0.00', '+0.00', 2]
['+0.10', '+0.20', '-0.27', '-0.25', '+0.03', '-0.10', '+0.00', '+0.00', 0]
['+0.10', '+0.20', '-0.26', '-0.22', '+0.02', '-0.08', '+0.00', '+0.00', 2]
['+0.10', '+0.19', '-0.26', '-0.25', '+0.02', '-0.08', '+0.00', '+0.00', 0]
['+0.09', '+0.19', '-0.27', '-0.25', '+0.01', '-0.10', '+0.00', '+0.00', 2]
['+0.09', '+0.19', '-0.26', '-0.22', '+0.01', '-0.08', '+0.00', '+0.00', 2]
['+0.09', '+0.18', '-0.26', '-0.25', '+0.00', '-0.08', '+0.00', '+0.00', 0]
['+0.09', '+0.18', '-0.25', '-0.21', '+0.00', '-0.07', '+0.00', '+0.00', 2]
['+0.08', '+0.18', '-0.25', '-0.23', '-0.00', '-0.07', '+0.00', '+0.00', 0]
['+0.08', '+0.17', '-0.26', '-0.20', '-0.01', '-0.08', '+0.00', '+0.00', 2]
['+0.08', '+0.17', '-0.26', '-0.23', '-0.01', '-0.08', '+0.00', '+0.00', 0]
['+0.08', '+0.17', '-0.26', '-0.21', '-0.02', '-0.08', '+0.00', '+0.00', 2]
['+0.07', '+0.16', '-0.26', '-0.24', '-0.02', '-0.08', '+0.00', '+0.00', 0]
['+0.07', '+0.16', '-0.26', '-0.24', '-0.02', '-0.09', '+0.00', '+0.00', 2]
['+0.07', '+0.16', '-0.28', '-0.23', '-0.03', '-0.10', '+0.00', '+0.00', 2]
['+0.07', '+0.15', '-0.27', '-0.24', '-0.03', '-0.10', '+0.00', '+0.00', 2]
['+0.06', '+0.15', '-0.28', '-0.22', '-0.04', '-0.11', '+0.00', '+0.00', 2]
