['-0.00', '+0.94', '-0.13', '-0.15', '+0.00', '-0.01', '+0.00', '+0.00', 3]
['+0.23', '+0.52', '+0.37', '-0.54', '+0.29', '+0.11', '+0.00', '+0.00', 2]
['+0.23', '+0.51', '+0.37', '-0.53', '+0.29', '+0.12', '+0.00', '+0.00', 2]
['+0.24', '+0.51', '+0.35', '-0.52', '+0.30', '+0.12', '+0.00', '+0.00', 2]
['+0.24', '+0.50', '+0.36', '-0.54', '+0.30', '+0.08', '+0.00', '+0.00', 3]
['+0.24', '+0.49', '+0.33', '-0.55', '+0.31', '+0.07', '+0.00', '+0.00', 2]
['+0.25', '+0.48', '+0.32', '-0.53', '+0.31', '+0.06', '+0.00', '+0.00', 2]
['+0.25', '+0.48', '+0.29', '-0.52', '+0.31', '+0.06', '+0.00', '+0.00', 2]
['+0.25', '+0.47', '+0.25', '-0.50', '+0.31', '+0.05', '+0.00', '+0.00', 2]
['+0.26', '+0.46', '+0.25', '-0.49', '+0.32', '+0.06', '+0.00', '+0.00', 2]
['+0.26', '+0.45', '+0.22', '-0.46', '+0.32', '+0.06', '+0.00', '+0.00', 2]
['+0.26', '+0.45', '+0.21', '-0.44', '+0.32', '+0.07', '+0.00', '+0.00', 2]
['+0.26', '+0.44', '+0.16', '-0.41', '+0.33', '+0.05', '+0.00', '+0.00', 2]
['+0.26', '+0.43', '+0.17', '-0.43', '+0.33', '+0.01', '+0.00', '+0.00', 3]
['+0.26', '+0.43', '+0.13', '-0.42', '+0.33', '-0.01', '+0.00', '+0.00', 2]
['+0.27', '+0.42', '+0.11', '-0.42', '+0.32', '-0.01', '+0.00', '+0.00', 2]
['+0.27', '+0.42', '+0.10', '-0.40', '+0.32', '-0.01', '+0.00', '+0.00', 2]
['+0.27', '+0.41', '+0.07', '-0.41', '+0.32', '-0.02', '+0.00', '+0.00', 2]
['+0.27', '+0.40', '+0.04', '-0.39', '+0.32', '-0.03', '+0.00', '+0.00', 2]
['+0.27', '+0.40', '+0.01', '-0.38', '+0.32', '-0.04', '+0.00', '+0.00', 2]
['+0.27', '+0.39', '+0.00', '-0.37', '+0.32', '-0.03', '+0.00', '+0.00', 2]
['+0.27', '+0.39', '-0.02', '-0.38', '+0.32', '-0.04', '+0.00', '+0.00', 2]
['+0.27', '+0.38', '-0.04', '-0.36', '+0.31', '-0.04', '+0.00', '+0.00', 2]
['+0.27', '+0.38', '-0.03', '-0.38', '+0.31', '-0.07', '+0.00', '+0.00', 3]
['+0.27', '+0.37', '-0.06', '-0.36', '+0.31', '-0.08', '+0.00', '+0.00', 2]
['+0.27', '+0.36', '-0.09', '-0.33', '+0.30', '-0.09', '+0.00', '+0.00', 2]
['+0.26', '+0.36', '-0.10', '-0.33', '+0.30', '-0.07', '+0.00', '+0.00', 2]
['+0.26', '+0.35', '-0.09', '-0.35', '+0.29', '-0.12', '+0.00', '+0.00', 3]
['+0.26', '+0.35', '-0.13', '-0.32', '+0.29', '-0.13', '+0.00', '+0.00', 2]
['+0.26', '+0.34', '-0.15', '-0.32', '+0.28', '-0.15', '+0.00', '+0.00', 2]
['+0.26', '+0.34', '-0.16', '-0.30', '+0.27', '-0.14', '+0.00', '+0.00', 2]
['+0.26', '+0.34', '-0.17', '-0.28', '+0.27', '-0.13', '+0.00', '+0.00', 2]
['+0.26', '+0.33', '-0.17', '-0.31', '+0.26', '-0.13', '+0.00', '+0.00', 0]
['+0.25', '+0.33', '-0.18', '-0.30', '+0.25', '-0.12', '+0.00', '+0.00', 2]
['+0.25', '+0.32', '-0.18', '-0.30', '+0.25', '-0.11', '+0.00', '+0.00', 2]
['+0.25', '+0.32', '-0.17', '-0.29', '+0.24', '-0.10', '+0.00', '+0.00', 2]
['+0.25', '+0.31', '-0.20', '-0.29', '+0.24', '-0.11', '+0.00', '+0.00', 2]
['+0.25', '+0.31', '-0.20', '-0.27', '+0.23', '-0.10', '+0.00', '+0.00', 2]
['+0.24', '+0.31', '-0.19', '-0.29', '+0.23', '-0.14', '+0.00', '+0.00', 3]
['+0.24', '+0.30', '-0.20', '-0.28', '+0.22', '-0.13', '+0.00', '+0.00', 2]
['+0.24', '+0.30', '-0.24', '-0.26', '+0.21', '-0.15', '+0.00', '+0.00', 2]
['+0.24', '+0.29', '-0.24', '-0.29', '+0.20', '-0.15', '+0.00', '+0.00', 0]
['+0.23', '+0.29', '-0.24', '-0.25', '+0.20', '-0.14', '+0.00', '+0.00', 2]
['+0.23', '+0.28', '-0.24', '-0.28', '+0.19', '-0.14', '+0.00', '+0.00', 0]
['+0.23', '+0.28', '-0.25', '-0.27', '+0.18', '-0.13', '+0.00', '+0.00', 2]
['+0.23', '+0.28', '-0.28', '-0.24', '+0.18', '-0.15', '+0.00', '+0.00', 2]
['+0.22', '+0.27', '-0.28', '-0.26', '+0.17', '-0.15', '+0.00', '+0.00', 0]
['+0.22', '+0.27', '-0.27', '-0.24', '+0.16', '-0.13', '+0.00', '+0.00', 2]
['+0.22', '+0.27', '-0.27', '-0.27', '+0.16', '-0.13', '+0.00', '+0.00', 0]
['+0.21', '+0.26', '-0.28', '-0.22', '+0.15', '-0.12', '+0.00', '+0.00', 2]
['+0.21', '+0.26', '-0.28', '-0.25', '+0.14', '-0.12', '+0.00', '+0.00', 0]
['+0.21', '+0.26', '-0.31', '-0.21', '+0.14', '-0.13', '+0.00', '+0.00', 2]
['+0.21', '+0.25', '-0.31', '-0.24', '+0.13', '-0.13', '+0.00', '+0.00', 0]
['+0.20', '+0.25', '-0.32', '-0.20', '+0.12', '-0.14', '+0.00', '+0.00', 2]
['+0.20', '+0.25', '-0.32', '-0.22', '+0.12', '-0.14', '+0.00', '+0.00', 0]
['+0.20', '+0.24', '-0.32', '-0.25', '+0.11', '-0.14', '+0.00', '+0.00', 0]
['+0.19', '+0.24', '-0.34', '-0.25', '+0.10', '-0.15', '+0.00', '+0.00', 2]
['+0.19', '+0.23', '-0.35', '-0.21', '+0.09', '-0.15', '+0.00', '+0.00', 2]
['+0.19', '+0.23', '-0.35', '-0.24', '+0.09', '-0.15', '+0.00', '+0.00', 0]
['+0.18', '+0.23', '-0.36', '-0.22', '+0.08', '-0.15', '+0.00', '+0.00', 2]
['+0.18', '+0.22', '-0.36', '-0.24', '+0.07', '-0.15', '+0.00', '+0.00', 0]
['+0.17', '+0.22', '-0.35', '-0.20', '+0.07', '-0.13', '+0.00', '+0.00', 2]
['+0.17', '+0.22', '-0.35', '-0.23', '+0.06', '-0.13', '+0.00', '+0.00', 0]
['+0.17', '+0.21', '-0.37', '-0.21', '+0.05', '-0.15', '+0.00', '+0.00', 2]
['+0.16', '+0.21', '-0.37', '-0.24', '+0.04', '-0.15', '+0.00', '+0.00', 0]
['+0.16', '+0.21', '-0.38', '-0.24', '+0.04', '-0.16', '+0.00', '+0.00', 2]
['+0.16', '+0.20', '-0.37', '-0.24', '+0.03', '-0.15', '+0.00', '+0.00', 2]
['+0.15', '+0.20', '-0.36', '-0.20', '+0.02', '-0.13', '+0.00', '+0.00', 2]
['+0.15', '+0.20', '-0.36', '-0.23', '+0.02', '-0.13', '+0.00', '+0.00', 0]
['+0.14', '+0.19', '-0.35', '-0.20', '+0.01', '-0.12', '+0.00', '+0.00', 2]
['+0.14', '+0.19', '-0.35', '-0.22', '+0.00', '-0.12', '+0.00', '+0.00', 0]
['+0.14', '+0.19', '-0.37', '-0.19', '-0.00', '-0.14', '+0.00', '+0.00', 2]
['+0.13', '+0.18', '-0.37', '-0.21', '-0.01', '-0.14', '+0.00', '+0.00', 0]
['+0.13', '+0.18', '-0.36', '-0.18', '-0.02', '-0.13', '+0.00', '+0.00', 2]
['+0.13', '+0.18', '-0.36', '-0.21', '-0.02', '-0.13', '+0.00', '+0.00', 0]
['+0.12', '+0.18', '-0.36', '-0.20', '-0.03', '-0.13', '+0.00', '+0.00', 2]
['+0.12', '+0.17', '-0.36', '-0.22', '-0.04', '-0.13', '+0.00', '+0.00', 0]
['+0.12', '+0.17', '-0.34', '-0.18', '-0.04', '-0.12', '+0.00', '+0.00', 2]
['+0.11', '+0.17', '-0.34', '-0.21', '-0.05', '-0.12', '+0.00', '+0.00', 0]
['+0.11', '+0.16', '-0.35', '-0.17', '-0.06', '-0.14', '+0.00', '+0.00', 2]
['+0.11', '+0.16', '-0.35', '-0.20', '-0.06', '-0.14', '+0.00', '+0.00', 0]
['+0.10', '+0.16', '-0.35', '-0.22', '-0.07', '-0.14', '+0.00', '+0.00', 0]
['+0.10', '+0.15', '-0.36', '-0.18', '-0.08', '-0.15', '+0.00', '+0.00', 2]
['+0.09', '+0.15', '-0.36', '-0.21', '-0.08', '-0.15', '+0.00', '+0.00', 0]
['+0.09', '+0.15', '-0.37', '-0.17', '-0.09', '-0.16', '+0.00', '+0.00', 2]
['+0.09', '+0.15', '-0.37', '-0.20', '-0.10', '-0.16', '+0.00', '+0.00', 0]
['+0.08', '+0.14', '-0.38', '-0.23', '-0.11', '-0.13', '+0.00', '+0.00', 1]
['+0.08', '+0.14', '-0.38', '-0.22', '-0.11', '-0.14', '+0.00', '+0.00', 2]
['+0.07', '+0.14', '-0.39', '-0.18', '-0.12', '-0.16', '+0.00', '+0.00', 2]
['+0.07', '+0.13', '-0.39', '-0.20', '-0.13', '-0.16', '+0.00', '+0.00', 0]
['+0.07', '+0.13', '-0.39', '-0.20', '-0.14', '-0.17', '+0.00', '+0.00', 2]
['+0.06', '+0.13', '-0.40', '-0.23', '-0.14', '-0.13', '+0.00', '+0.00', 1]
['+0.06', '+0.12', '-0.39', '-0.20', '-0.15', '-0.13', '+0.00', '+0.00', 2]
['+0.05', '+0.12', '-0.39', '-0.18', '-0.16', '-0.14', '+0.00', '+0.00', 2]
['+0.05', '+0.12', '-0.39', '-0.21', '-0.16', '-0.14', '+0.00', '+0.00', 0]
['+0.05', '+0.12', '-0.38', '-0.19', '-0.17', '-0.14', '+0.00', '+0.00', 2]
['+0.04', '+0.11', '-0.37', '-0.17', '-0.18', '-0.14', '+0.00', '+0.00', 2]
['+0.04', '+0.11', '-0.38', '-0.19', '-0.18', '-0.09', '+0.00', '+0.00', 1]
['+0.04', '+0.11', '-0.36', '-0.16', '-0.19', '-0.10', '+0.00', '+0.00', 2]
['+0.03', '+0.11', '-0.36', '-0.18', '-0.19', '-0.10', '+0.00', '+0.00', 0]
['+0.03', '+0.10', '-0.36', '-0.21', '-0.20', '-0.10', '+0.00', '+0.00', 0]
['+0.02', '+0.10', '-0.37', '-0.21', '-0.20', '-0.11', '+0.00', '+0.00', 2]
['+0.02', '+0.10', '-0.37', '-0.19', '-0.21', '-0.12', '+0.00', '+0.00', 2]
['+0.02', '+0.09', '-0.36', '-0.19', '-0.22', '-0.13', '+0.00', '+0.00', 2]
['+0.01', '+0.09', '-0.37', '-0.21', '-0.22', '-0.09', '+0.00', '+0.00', 1]
['+0.01', '+0.09', '-0.36', '-0.20', '-0.22', '-0.09', '+0.00', '+0.00', 2]
['+0.01', '+0.08', '-0.34', '-0.20', '-0.23', '-0.09', '+0.00', '+0.00', 2]
['+0.00', '+0.08', '-0.33', '-0.20', '-0.23', '-0.08', '+0.00', '+0.00', 2]
['-0.00', '+0.08', '-0.33', '-0.20', '-0.24', '-0.09', '+0.00', '+0.00', 2]
['-0.00', '+0.08', '-0.32', '-0.16', '-0.24', '-0.10', '+0.00', '+0.00', 2]
['-0.01', '+0.07', '-0.33', '-0.18', '-0.25', '-0.05', '+0.00', '+0.00', 1]
['-0.01', '+0.07', '-0.32', '-0.15', '-0.25', '-0.06', '+0.00', '+0.00', 2]
['-0.01', '+0.07', '-0.32', '-0.18', '-0.25', '-0.06', '+0.00', '+0.00', 0]
['-0.02', '+0.07', '-0.30', '-0.17', '-0.25', '-0.06', '+0.00', '+0.00', 2]
['-0.02', '+0.06', '-0.27', '-0.14', '-0.26', '-0.05', '+0.00', '+0.00', 2]
['-0.02', '+0.06', '-0.27', '-0.16', '-0.26', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.06', '-0.24', '-0.14', '-0.26', '-0.04', '+0.00', '+0.00', 2]
['-0.03', '+0.06', '-0.24', '-0.16', '-0.26', '-0.04', '+0.00', '+0.00', 0]
['-0.03', '+0.05', '-0.21', '-0.13', '-0.27', '-0.04', '+0.00', '+0.00', 2]
['-0.03', '+0.05', '-0.22', '-0.16', '-0.27', '-0.00', '+0.00', '+0.00', 1]
['-0.03', '+0.05', '-0.20', '-0.15', '-0.27', '-0.00', '+0.00', '+0.00', 2]
['-0.03', '+0.05', '-0.19', '-0.14', '-0.27', '-0.01', '+0.00', '+0.00', 2]
['-0.04', '+0.05', '-0.17', '-0.11', '-0.27', '-0.01', '+0.00', '+0.00', 2]
['-0.04', '+0.04', '-0.17', '-0.14', '-0.27', '-0.01', '+0.00', '+0.00', 0]
['-0.04', '+0.04', '-0.17', '-0.12', '-0.27', '-0.02', '+0.00', '+0.00', 2]
['-0.04', '+0.04', '-0.18', '-0.15', '-0.27', '+0.01', '+0.00', '+0.00', 1]
['-0.04', '+0.04', '-0.17', '-0.13', '-0.27', '+0.00', '+0.00', '+0.00', 2]
['-0.04', '+0.04', '-0.15', '-0.09', '-0.27', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.04', '-0.16', '-0.12', '-0.27', '+0.04', '+0.00', '+0.00', 1]
['-0.05', '+0.03', '-0.14', '-0.08', '-0.26', '+0.04', '+0.00', '+0.00', 2]
['-0.05', '+0.03', '-0.14', '-0.10', '-0.26', '+0.04', '+0.00', '+0.00', 0]
['-0.05', '+0.03', '-0.14', '-0.13', '-0.26', '+0.04', '+0.00', '+0.00', 0]
['-0.05', '+0.03', '-0.12', '-0.12', '-0.26', '+0.04', '+0.00', '+0.00', 2]
['-0.05', '+0.03', '-0.10', '-0.08', '-0.25', '+0.04', '+0.00', '+0.00', 2]
['-0.05', '+0.03', '-0.10', '-0.11', '-0.25', '+0.04', '+0.00', '+0.00', 0]
['-0.05', '+0.02', '-0.10', '-0.11', '-0.25', '+0.03', '+0.00', '+0.00', 2]
['-0.06', '+0.02', '-0.08', '-0.09', '-0.25', '+0.04', '+0.00', '+0.00', 2]
['-0.06', '+0.02', '-0.07', '-0.06', '-0.25', '+0.03', '+0.00', '+0.00', 2]
['-0.06', '+0.02', '-0.07', '-0.09', '-0.24', '+0.07', '+0.00', '+0.00', 1]
['-0.06', '+0.02', '-0.07', '-0.11', '-0.24', '+0.07', '+0.00', '+0.00', 0]
['-0.06', '+0.02', '-0.06', '-0.10', '-0.24', '+0.06', '+0.00', '+0.00', 2]
['-0.06', '+0.02', '-0.04', '-0.05', '-0.23', '+0.21', '+1.00', '+0.00', 2]
['-0.06', '+0.02', '-0.05', '-0.06', '-0.21', '+0.29', '+1.00', '+0.00', 0]
['-0.06', '+0.01', '-0.05', '-0.08', '-0.20', '+0.36', '+1.00', '+0.00', 0]
['-0.06', '+0.01', '-0.05', '-0.10', '-0.17', '+0.44', '+1.00', '+0.00', 0]
['-0.06', '+0.01', '-0.03', '-0.10', '-0.15', '+0.45', '+1.00', '+0.00', 2]
['-0.06', '+0.01', '-0.01', '-0.08', '-0.13', '+0.46', '+1.00', '+0.00', 2]
['-0.06', '+0.01', '-0.01', '-0.11', '-0.11', '+0.46', '+1.00', '+0.00', 0]
['-0.06', '+0.01', '-0.01', '-0.11', '-0.08', '+0.45', '+1.00', '+0.00', 2]
['-0.06', '+0.01', '+0.00', '-0.07', '-0.06', '+0.46', '+0.00', '+0.00', 2]
['-0.06', '+0.00', '+0.01', '-0.10', '-0.04', '+0.42', '+0.00', '+0.00', 3]
['-0.06', '+0.00', '+0.03', '-0.13', '-0.02', '+0.38', '+0.00', '+0.00', 3]
['-0.06', '-0.00', '+0.03', '-0.15', '-0.00', '+0.34', '+0.00', '+0.00', 3]
['-0.06', '-0.00', '+0.04', '-0.16', '+0.03', '+0.56', '+1.00', '+1.00', 3]
['-0.06', '-0.00', '+0.04', '-0.10', '+0.04', '+0.32', '+1.00', '+1.00', 2]
['-0.06', '-0.01', '+0.04', '-0.08', '+0.05', '+0.25', '+1.00', '+1.00', 0]
['-0.06', '-0.01', '+0.04', '-0.05', '+0.06', '+0.18', '+1.00', '+1.00', 0]
['-0.05', '-0.01', '+0.03', '-0.03', '+0.07', '+0.11', '+1.00', '+1.00', 0]
['-0.05', '-0.01', '+0.02', '-0.01', '+0.07', '+0.04', '+1.00', '+1.00', 0]
['-0.05', '-0.01', '+0.01', '+0.01', '+0.07', '-0.02', '+1.00', '+1.00', 0]
['-0.05', '-0.01', '+0.01', '+0.02', '+0.07', '-0.07', '+1.00', '+1.00', 0]
['-0.05', '-0.01', '+0.01', '+0.03', '+0.06', '-0.10', '+1.00', '+1.00', 0]
['-0.05', '-0.01', '+0.01', '+0.04', '+0.06', '-0.12', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.04', '+0.05', '-0.12', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.03', '+0.04', '-0.10', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.04', '-0.08', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.04', '-0.06', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.01', '+0.04', '-0.04', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.01', '+0.03', '-0.04', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.01', '+0.03', '-0.04', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.01', '+0.03', '-0.04', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.01', '+0.03', '-0.05', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.02', '-0.06', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.02', '-0.06', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.02', '-0.07', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.01', '-0.07', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.01', '-0.07', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.01', '-0.07', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.00', '-0.06', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.02', '+0.00', '-0.06', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.01', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '-0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '-0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '-0.00', '-0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.05', '-0.00', '+0.00', '+0.00', '+0.00', '+0.00', '+1.00', '+1.00', 0]
['-0.01', '+0.95', '-0.44', '+0.19', '+0.01', '+0.05', '+0.00', '+0.00', 3]
['-0.01', '+0.95', '-0.43', '+0.17', '+0.01', '+0.01', '+0.00', '+0.00', 3]
['-0.02', '+0.95', '-0.42', '+0.14', '+0.01', '-0.02', '+0.00', '+0.00', 3]
['-0.02', '+0.95', '-0.41', '+0.11', '+0.00', '-0.06', '+0.00', '+0.00', 3]
['-0.03', '+0.95', '-0.40', '+0.09', '-0.00', '-0.09', '+0.00', '+0.00', 3]
['-0.03', '+0.96', '-0.39', '+0.06', '-0.01', '-0.14', '+0.00', '+0.00', 3]
['-0.03', '+0.96', '-0.39', '+0.03', '-0.02', '-0.17', '+0.00', '+0.00', 3]
['-0.04', '+0.96', '-0.39', '+0.01', '-0.02', '-0.17', '+0.00', '+0.00', 0]
['-0.04', '+0.96', '-0.39', '-0.02', '-0.03', '-0.17', '+0.00', '+0.00', 0]
['-0.05', '+0.96', '-0.39', '-0.05', '-0.04', '-0.17', '+0.00', '+0.00', 0]
['-0.05', '+0.95', '-0.39', '-0.07', '-0.05', '-0.17', '+0.00', '+0.00', 0]
['-0.05', '+0.95', '-0.39', '-0.10', '-0.06', '-0.17', '+0.00', '+0.00', 0]
['-0.06', '+0.95', '-0.39', '-0.13', '-0.07', '-0.17', '+0.00', '+0.00', 0]
['-0.06', '+0.95', '-0.39', '-0.15', '-0.08', '-0.17', '+0.00', '+0.00', 0]
['-0.07', '+0.95', '-0.39', '-0.18', '-0.08', '-0.17', '+0.00', '+0.00', 0]
['-0.07', '+0.94', '-0.39', '-0.21', '-0.09', '-0.17', '+0.00', '+0.00', 0]
['-0.07', '+0.94', '-0.39', '-0.23', '-0.10', '-0.17', '+0.00', '+0.00', 0]
['-0.08', '+0.94', '-0.39', '-0.26', '-0.11', '-0.17', '+0.00', '+0.00', 0]
['-0.08', '+0.93', '-0.39', '-0.29', '-0.12', '-0.17', '+0.00', '+0.00', 0]
['-0.08', '+0.93', '-0.39', '-0.31', '-0.13', '-0.17', '+0.00', '+0.00', 0]
['-0.09', '+0.92', '-0.39', '-0.34', '-0.14', '-0.17', '+0.00', '+0.00', 0]
['-0.09', '+0.92', '-0.39', '-0.37', '-0.14', '-0.17', '+0.00', '+0.00', 0]
['-0.10', '+0.91', '-0.39', '-0.39', '-0.15', '-0.17', '+0.00', '+0.00', 0]
['-0.10', '+0.90', '-0.39', '-0.42', '-0.16', '-0.17', '+0.00', '+0.00', 0]
['-0.10', '+0.90', '-0.39', '-0.45', '-0.17', '-0.13', '+0.00', '+0.00', 1]
['-0.11', '+0.89', '-0.39', '-0.47', '-0.17', '-0.13', '+0.00', '+0.00', 0]
['-0.11', '+0.88', '-0.39', '-0.50', '-0.18', '-0.13', '+0.00', '+0.00', 0]
['-0.12', '+0.87', '-0.39', '-0.53', '-0.19', '-0.13', '+0.00', '+0.00', 0]
['-0.12', '+0.87', '-0.39', '-0.55', '-0.19', '-0.13', '+0.00', '+0.00', 0]
['-0.12', '+0.86', '-0.39', '-0.58', '-0.20', '-0.13', '+0.00', '+0.00', 0]
['-0.13', '+0.85', '-0.39', '-0.61', '-0.21', '-0.13', '+0.00', '+0.00', 0]
['-0.13', '+0.84', '-0.39', '-0.63', '-0.21', '-0.13', '+0.00', '+0.00', 0]
['-0.14', '+0.83', '-0.39', '-0.66', '-0.22', '-0.13', '+0.00', '+0.00', 0]
['-0.14', '+0.82', '-0.39', '-0.69', '-0.23', '-0.13', '+0.00', '+0.00', 0]
['-0.14', '+0.81', '-0.39', '-0.71', '-0.23', '-0.13', '+0.00', '+0.00', 0]
['-0.15', '+0.80', '-0.41', '-0.74', '-0.24', '-0.08', '+0.00', '+0.00', 1]
['-0.15', '+0.79', '-0.41', '-0.76', '-0.24', '-0.08', '+0.00', '+0.00', 0]
['-0.16', '+0.77', '-0.41', '-0.79', '-0.25', '-0.08', '+0.00', '+0.00', 0]
['-0.16', '+0.76', '-0.39', '-0.78', '-0.25', '-0.08', '+0.00', '+0.00', 2]
['-0.16', '+0.75', '-0.36', '-0.77', '-0.26', '-0.07', '+0.00', '+0.00', 2]
['-0.17', '+0.74', '-0.36', '-0.74', '-0.26', '-0.08', '+0.00', '+0.00', 2]
['-0.17', '+0.73', '-0.36', '-0.77', '-0.26', '-0.08', '+0.00', '+0.00', 0]
['-0.18', '+0.72', '-0.34', '-0.77', '-0.27', '-0.08', '+0.00', '+0.00', 2]
['-0.18', '+0.71', '-0.31', '-0.74', '-0.27', '-0.07', '+0.00', '+0.00', 2]
['-0.18', '+0.69', '-0.30', '-0.70', '-0.28', '-0.09', '+0.00', '+0.00', 2]
['-0.18', '+0.68', '-0.29', '-0.68', '-0.28', '-0.10', '+0.00', '+0.00', 2]
['-0.19', '+0.67', '-0.29', '-0.70', '-0.29', '-0.10', '+0.00', '+0.00', 0]
['-0.19', '+0.66', '-0.27', '-0.69', '-0.29', '-0.10', '+0.00', '+0.00', 2]
['-0.19', '+0.65', '-0.25', '-0.68', '-0.30', '-0.10', '+0.00', '+0.00', 2]
['-0.20', '+0.64', '-0.27', '-0.71', '-0.30', '-0.05', '+0.00', '+0.00', 1]
['-0.20', '+0.63', '-0.22', '-0.68', '-0.30', '-0.03', '+0.00', '+0.00', 2]
['-0.20', '+0.62', '-0.19', '-0.65', '-0.30', '-0.03', '+0.00', '+0.00', 2]
['-0.20', '+0.61', '-0.18', '-0.64', '-0.30', '-0.03', '+0.00', '+0.00', 2]
['-0.20', '+0.60', '-0.17', '-0.64', '-0.30', '-0.04', '+0.00', '+0.00', 2]
['-0.20', '+0.59', '-0.15', '-0.62', '-0.31', '-0.04', '+0.00', '+0.00', 2]
['-0.21', '+0.59', '-0.13', '-0.59', '-0.31', '-0.04', '+0.00', '+0.00', 2]
['-0.21', '+0.58', '-0.14', '-0.62', '-0.31', '+0.00', '+0.00', '+0.00', 1]
['-0.21', '+0.57', '-0.12', '-0.60', '-0.31', '+0.00', '+0.00', '+0.00', 2]
['-0.21', '+0.56', '-0.10', '-0.60', '-0.31', '+0.01', '+0.00', '+0.00', 2]
['-0.21', '+0.55', '-0.08', '-0.60', '-0.31', '+0.02', '+0.00', '+0.00', 2]
['-0.21', '+0.54', '-0.05', '-0.58', '-0.30', '+0.03', '+0.00', '+0.00', 2]
['-0.21', '+0.53', '-0.03', '-0.56', '-0.30', '+0.02', '+0.00', '+0.00', 2]
