['+0.10', '+0.42', '-0.12', '-0.39', 1]
['-0.10', '-0.58', '-0.03', '+0.20', 0]
['-0.11', '-0.38', '-0.02', '-0.10', 1]
['-0.12', '-0.58', '-0.02', '+0.18', 0]
['-0.13', '-0.38', '-0.02', '-0.12', 1]
['-0.14', '-0.58', '-0.02', '+0.17', 0]
['-0.15', '-0.38', '-0.02', '-0.13', 1]
['-0.16', '-0.58', '-0.02', '+0.15', 0]
['-0.17', '-0.38', '-0.02', '-0.15', 1]
['-0.18', '-0.57', '-0.02', '+0.14', 0]
['-0.19', '-0.38', '-0.02', '-0.16', 1]
['-0.20', '-0.57', '-0.02', '+0.13', 0]
['-0.21', '-0.38', '-0.02', '-0.17', 1]
['-0.21', '-0.57', '-0.02', '+0.12', 0]
['-0.23', '-0.77', '-0.02', '+0.40', 0]
['-0.24', '-0.57', '-0.01', '+0.10', 1]
['-0.25', '-0.77', '-0.01', '+0.39', 0]
['-0.27', '-0.57', '-0.00', '+0.10', 1]
['-0.28', '-0.77', '-0.00', '+0.39', 0]
['-0.30', '-0.57', '+0.01', '+0.09', 1]
['-0.31', '-0.77', '+0.01', '+0.39', 0]
['-0.32', '-0.57', '+0.02', '+0.10', 1]
['-0.33', '-0.77', '+0.02', '+0.40', 0]
['-0.35', '-0.57', '+0.03', '+0.11', 1]
['-0.36', '-0.77', '+0.03', '+0.41', 0]
['-0.38', '-0.57', '+0.04', '+0.13', 1]
['-0.39', '-0.38', '+0.04', '-0.15', 1]
['-0.39', '-0.58', '+0.04', '+0.15', 0]
['-0.41', '-0.38', '+0.04', '-0.13', 1]
['-0.41', '-0.58', '+0.04', '+0.18', 0]
['-0.43', '-0.38', '+0.04', '-0.10', 1]
['-0.43', '-0.58', '+0.04', '+0.20', 0]
['-0.44', '-0.38', '+0.04', '-0.08', 1]
['-0.45', '-0.58', '+0.04', '+0.23', 0]
['-0.46', '-0.38', '+0.05', '-0.05', 1]
['-0.47', '-0.58', '+0.04', '+0.25', 0]
['-0.48', '-0.39', '+0.05', '-0.02', 1]
['-0.49', '-0.58', '+0.05', '+0.28', 0]
['-0.50', '-0.39', '+0.06', '+0.01', 1]
['-0.51', '-0.58', '+0.06', '+0.32', 0]
['-0.52', '-0.39', '+0.06', '+0.04', 1]
['-0.53', '-0.58', '+0.06', '+0.35', 0]
['-0.54', '-0.39', '+0.07', '+0.08', 1]
['-0.55', '-0.20', '+0.07', '-0.19', 1]
['-0.55', '-0.39', '+0.07', '+0.13', 0]
['-0.56', '-0.20', '+0.07', '-0.14', 1]
['-0.56', '-0.39', '+0.07', '+0.17', 0]
['-0.57', '-0.20', '+0.07', '-0.10', 1]
['-0.58', '-0.40', '+0.07', '+0.21', 0]
['-0.58', '-0.20', '+0.07', '-0.06', 1]
['-0.59', '-0.40', '+0.07', '+0.26', 0]
['-0.60', '-0.20', '+0.08', '-0.01', 1]
['-0.60', '-0.40', '+0.08', '+0.30', 0]
['-0.61', '-0.21', '+0.08', '+0.04', 1]
['-0.61', '-0.40', '+0.08', '+0.35', 0]
['-0.62', '-0.21', '+0.09', '+0.09', 1]
['-0.62', '-0.01', '+0.09', '-0.18', 1]
['-0.63', '-0.21', '+0.09', '+0.14', 0]
['-0.63', '-0.02', '+0.09', '-0.12', 1]
['-0.63', '-0.21', '+0.09', '+0.20', 0]
['-0.63', '-0.02', '+0.09', '-0.06', 1]
['-0.63', '-0.22', '+0.09', '+0.26', 0]
['-0.64', '-0.02', '+0.10', '-0.00', 1]
['-0.64', '+0.17', '+0.10', '-0.27', 1]
['-0.64', '-0.03', '+0.09', '+0.06', 0]
['-0.64', '+0.17', '+0.09', '-0.21', 1]
['-0.63', '-0.03', '+0.09', '+0.11', 0]
['-0.63', '+0.17', '+0.09', '-0.15', 1]
['-0.63', '-0.03', '+0.09', '+0.17', 0]
['-0.63', '+0.16', '+0.09', '-0.09', 1]
['-0.63', '-0.03', '+0.09', '+0.23', 0]
['-0.63', '+0.16', '+0.09', '-0.04', 1]
['-0.62', '+0.35', '+0.09', '-0.30', 1]
['-0.62', '+0.16', '+0.09', '+0.02', 0]
['-0.61', '+0.35', '+0.09', '-0.24', 1]
['-0.61', '+0.16', '+0.08', '+0.08', 0]
['-0.60', '+0.35', '+0.08', '-0.19', 1]
['-0.60', '+0.15', '+0.08', '+0.13', 0]
['-0.59', '+0.35', '+0.08', '-0.14', 1]
['-0.59', '+0.15', '+0.08', '+0.18', 0]
['-0.58', '+0.34', '+0.08', '-0.09', 1]
['-0.58', '+0.54', '+0.08', '-0.35', 1]
['-0.57', '+0.34', '+0.07', '-0.03', 0]
['-0.56', '+0.54', '+0.07', '-0.30', 1]
['-0.55', '+0.34', '+0.07', '+0.01', 0]
['-0.54', '+0.53', '+0.07', '-0.26', 1]
['-0.53', '+0.34', '+0.06', '+0.06', 0]
['-0.52', '+0.53', '+0.06', '-0.22', 1]
['-0.51', '+0.34', '+0.06', '+0.10', 0]
['-0.51', '+0.53', '+0.06', '-0.18', 1]
['-0.50', '+0.33', '+0.06', '+0.13', 0]
['-0.49', '+0.53', '+0.06', '-0.14', 1]
['-0.48', '+0.33', '+0.06', '+0.17', 0]
['-0.47', '+0.53', '+0.06', '-0.10', 1]
['-0.46', '+0.72', '+0.06', '-0.37', 1]
['-0.45', '+0.53', '+0.05', '-0.06', 0]
['-0.44', '+0.72', '+0.05', '-0.34', 1]
['-0.42', '+0.52', '+0.04', '-0.03', 0]
['-0.41', '+0.72', '+0.04', '-0.31', 1]
['-0.40', '+0.52', '+0.04', '-0.00', 0]
['-0.39', '+0.72', '+0.04', '-0.28', 1]
['-0.37', '+0.52', '+0.03', '+0.02', 0]
['-0.36', '+0.72', '+0.03', '-0.26', 1]
['+0.00', '+0.17', '-0.04', '-0.29', 1]
['+0.00', '-0.03', '-0.04', '-0.01', 0]
['+0.00', '+0.17', '-0.04', '-0.31', 1]
['+0.01', '-0.02', '-0.05', '-0.03', 0]
['+0.01', '-0.22', '-0.05', '+0.24', 0]
['+0.00', '-0.02', '-0.04', '-0.06', 1]
['+0.00', '-0.22', '-0.04', '+0.21', 0]
['-0.00', '-0.02', '-0.04', '-0.09', 1]
['-0.00', '-0.22', '-0.04', '+0.19', 0]
['-0.01', '-0.02', '-0.04', '-0.12', 1]
['-0.01', '-0.21', '-0.04', '+0.16', 0]
['-0.01', '-0.02', '-0.04', '-0.14', 1]
['-0.01', '-0.21', '-0.04', '+0.14', 0]
['-0.02', '-0.02', '-0.04', '-0.17', 1]
['-0.02', '-0.21', '-0.04', '+0.11', 0]
['-0.02', '-0.02', '-0.04', '-0.19', 1]
['-0.02', '-0.21', '-0.04', '+0.09', 0]
['-0.03', '-0.02', '-0.04', '-0.22', 1]
['-0.03', '-0.21', '-0.05', '+0.06', 0]
['-0.03', '-0.01', '-0.04', '-0.25', 1]
['-0.03', '-0.21', '-0.05', '+0.03', 0]
['-0.03', '-0.40', '-0.05', '+0.31', 0]
['-0.04', '-0.21', '-0.04', '+0.00', 1]
['-0.05', '-0.40', '-0.04', '+0.28', 0]
['-0.06', '-0.21', '-0.04', '-0.03', 1]
['-0.06', '-0.40', '-0.04', '+0.25', 0]
['-0.07', '-0.21', '-0.03', '-0.05', 1]
['-0.07', '-0.40', '-0.03', '+0.23', 0]
['-0.08', '-0.20', '-0.03', '-0.07', 1]
['-0.08', '-0.40', '-0.03', '+0.21', 0]
['-0.09', '-0.20', '-0.03', '-0.09', 1]
['-0.10', '-0.40', '-0.03', '+0.19', 0]
['-0.10', '-0.20', '-0.02', '-0.11', 1]
['-0.11', '-0.40', '-0.03', '+0.18', 0]
['-0.12', '-0.20', '-0.02', '-0.12', 1]
['-0.12', '-0.40', '-0.02', '+0.16', 0]
['-0.13', '-0.20', '-0.02', '-0.14', 1]
['-0.13', '-0.40', '-0.02', '+0.15', 0]
['-0.14', '-0.20', '-0.02', '-0.15', 1]
['-0.14', '-0.40', '-0.02', '+0.13', 0]
['-0.15', '-0.20', '-0.02', '-0.17', 1]
['-0.16', '-0.39', '-0.03', '+0.12', 0]
['-0.16', '-0.20', '-0.02', '-0.18', 1]
['-0.17', '-0.39', '-0.03', '+0.10', 0]
['-0.18', '-0.20', '-0.02', '-0.20', 1]
['-0.18', '-0.39', '-0.03', '+0.09', 0]
['-0.19', '-0.59', '-0.03', '+0.37', 0]
['-0.20', '-0.39', '-0.02', '+0.07', 1]
['-0.21', '-0.59', '-0.02', '+0.36', 0]
['-0.22', '-0.39', '-0.01', '+0.06', 1]
['-0.23', '-0.59', '-0.01', '+0.35', 0]
['-0.24', '-0.39', '-0.00', '+0.05', 1]
['-0.25', '-0.59', '-0.00', '+0.34', 0]
['-0.26', '-0.39', '+0.01', '+0.05', 1]
['-0.27', '-0.59', '+0.01', '+0.35', 0]
['-0.28', '-0.39', '+0.01', '+0.06', 1]
['-0.28', '-0.59', '+0.01', '+0.35', 0]
['-0.30', '-0.39', '+0.02', '+0.06', 1]
['-0.30', '-0.59', '+0.02', '+0.36', 0]
['-0.32', '-0.39', '+0.03', '+0.08', 1]
['-0.32', '-0.59', '+0.03', '+0.38', 0]
['-0.34', '-0.39', '+0.04', '+0.10', 1]
['-0.34', '-0.59', '+0.04', '+0.40', 0]
['-0.36', '-0.39', '+0.05', '+0.12', 1]
['-0.36', '-0.20', '+0.05', '-0.15', 1]
['-0.37', '-0.40', '+0.05', '+0.16', 0]
['-0.38', '-0.20', '+0.05', '-0.12', 1]
['-0.38', '-0.40', '+0.05', '+0.19', 0]
['-0.39', '-0.20', '+0.05', '-0.09', 1]
['-0.39', '-0.40', '+0.05', '+0.22', 0]
['-0.40', '-0.20', '+0.06', '-0.06', 1]
['-0.40', '-0.40', '+0.05', '+0.25', 0]
['-0.41', '-0.21', '+0.06', '-0.02', 1]
['-0.42', '-0.40', '+0.06', '+0.29', 0]
['-0.42', '-0.21', '+0.07', '+0.02', 1]
['-0.43', '-0.40', '+0.07', '+0.33', 0]
['-0.44', '-0.21', '+0.07', '+0.06', 1]
['-0.44', '-0.02', '+0.07', '-0.21', 1]
['-0.44', '-0.21', '+0.07', '+0.10', 0]
['-0.44', '-0.02', '+0.07', '-0.17', 1]
['-0.45', '-0.21', '+0.07', '+0.15', 0]
['-0.45', '-0.02', '+0.07', '-0.12', 1]
['-0.45', '-0.22', '+0.07', '+0.19', 0]
['-0.45', '-0.02', '+0.07', '-0.08', 1]
['-0.45', '-0.22', '+0.07', '+0.23', 0]
['-0.46', '-0.02', '+0.07', '-0.04', 1]
['-0.46', '-0.22', '+0.07', '+0.28', 0]
['-0.46', '-0.03', '+0.08', '+0.01', 1]
['-0.46', '+0.17', '+0.08', '-0.26', 1]
['-0.46', '-0.03', '+0.07', '+0.06', 0]
['-0.46', '+0.17', '+0.08', '-0.21', 1]
['-0.46', '-0.03', '+0.07', '+0.11', 0]
['-0.46', '+0.16', '+0.07', '-0.16', 1]
['-0.46', '-0.03', '+0.07', '+0.15', 0]
['-0.46', '+0.16', '+0.07', '-0.12', 1]
['-0.45', '-0.03', '+0.07', '+0.20', 0]
['-0.45', '+0.16', '+0.08', '-0.07', 1]
['-0.45', '-0.04', '+0.07', '+0.24', 0]
['-0.45', '+0.16', '+0.08', '-0.02', 1]
['-0.45', '+0.35', '+0.08', '-0.29', 1]
['-0.44', '+0.16', '+0.07', '+0.03', 0]
['-0.44', '+0.35', '+0.07', '-0.24', 1]
['-0.43', '+0.15', '+0.07', '+0.07', 0]
['-0.43', '+0.35', '+0.07', '-0.20', 1]
['-0.42', '+0.15', '+0.07', '+0.12', 0]
['-0.42', '+0.35', '+0.07', '-0.16', 1]
['-0.41', '+0.15', '+0.06', '+0.16', 0]
['-0.41', '+0.34', '+0.07', '-0.11', 1]
['-0.40', '+0.15', '+0.07', '+0.20', 0]
['-0.40', '+0.34', '+0.07', '-0.07', 1]
['-0.39', '+0.54', '+0.07', '-0.34', 1]
['-0.38', '+0.34', '+0.06', '-0.03', 0]
['-0.37', '+0.53', '+0.06', '-0.30', 1]
['-0.36', '+0.34', '+0.05', '+0.01', 0]
['-0.36', '+0.53', '+0.05', '-0.27', 1]
['-0.35', '+0.34', '+0.05', '+0.04', 0]
['-0.34', '+0.53', '+0.05', '-0.23', 1]
['-0.33', '+0.33', '+0.05', '+0.08', 0]
['-0.32', '+0.53', '+0.05', '-0.20', 1]
['-0.31', '+0.33', '+0.04', '+0.10', 0]
['-0.30', '+0.53', '+0.05', '-0.17', 1]
['-0.29', '+0.33', '+0.04', '+0.13', 0]
['-0.29', '+0.53', '+0.04', '-0.15', 1]
['-0.28', '+0.72', '+0.04', '-0.42', 1]
['-0.26', '+0.53', '+0.03', '-0.12', 0]
['-0.25', '+0.72', '+0.03', '-0.40', 1]
['-0.24', '+0.52', '+0.02', '-0.10', 0]
['-0.23', '+0.72', '+0.02', '-0.38', 1]
['-0.21', '+0.52', '+0.01', '-0.09', 0]
['-0.20', '+0.72', '+0.01', '-0.37', 1]
['-0.19', '+0.52', '+0.00', '-0.08', 0]
['-0.18', '+0.72', '+0.00', '-0.37', 1]
['-0.16', '+0.52', '-0.01', '-0.08', 0]
['-0.15', '+0.72', '-0.01', '-0.37', 1]
['-0.14', '+0.52', '-0.01', '-0.08', 0]
['-0.13', '+0.72', '-0.02', '-0.38', 1]
['-0.11', '+0.52', '-0.02', '-0.09', 0]
['-0.10', '+0.72', '-0.02', '-0.39', 1]
['-0.09', '+0.52', '-0.03', '-0.10', 0]
['-0.08', '+0.72', '-0.03', '-0.41', 1]
['-0.06', '+0.53', '-0.04', '-0.12', 0]
['-0.05', '+0.72', '-0.05', '-0.43', 1]
['-0.04', '+0.53', '-0.05', '-0.15', 0]
['-0.03', '+0.72', '-0.06', '-0.46', 1]
['-0.01', '+0.53', '-0.07', '-0.19', 0]
['-0.00', '+0.33', '-0.07', '+0.08', 0]
['+0.00', '+0.53', '-0.07', '-0.23', 1]
['+0.01', '+0.34', '-0.07', '+0.04', 0]
['+0.02', '+0.53', '-0.07', '-0.27', 1]
['+0.03', '+0.34', '-0.08', '-0.01', 0]
['+0.04', '+0.53', '-0.08', '-0.32', 1]
['+0.05', '+0.34', '-0.08', '-0.05', 0]
['+0.06', '+0.54', '-0.09', '-0.37', 1]
['+0.07', '+0.34', '-0.09', '-0.11', 0]
['+0.07', '+0.54', '-0.09', '-0.43', 1]
['+0.08', '+0.35', '-0.10', '-0.17', 0]
['+0.09', '+0.15', '-0.11', '+0.09', 0]
['+0.09', '+0.35', '-0.11', '-0.23', 1]
['+0.10', '+0.16', '-0.11', '+0.02', 0]
['+0.10', '+0.35', '-0.11', '-0.30', 1]
['+0.11', '+0.16', '-0.12', '-0.04', 0]
['+0.11', '+0.35', '-0.12', '-0.37', 1]
['+0.12', '+0.16', '-0.12', '-0.12', 0]
['+0.12', '-0.03', '-0.13', '+0.13', 0]
['+0.12', '+0.16', '-0.12', '-0.20', 1]
['+0.13', '-0.03', '-0.13', '+0.06', 0]
['+0.13', '+0.17', '-0.13', '-0.27', 1]
['+0.13', '-0.02', '-0.13', '-0.02', 0]
['+0.13', '+0.17', '-0.13', '-0.35', 1]
['+0.13', '-0.02', '-0.14', '-0.11', 0]
['+0.13', '-0.21', '-0.14', '+0.14', 0]
['+0.13', '-0.02', '-0.14', '-0.19', 1]
['+0.13', '-0.21', '-0.14', '+0.05', 0]
['+0.12', '-0.01', '-0.14', '-0.28', 1]
['+0.12', '-0.21', '-0.15', '-0.04', 0]
['+0.12', '-0.40', '-0.15', '+0.21', 0]
['+0.11', '-0.20', '-0.14', '-0.13', 1]
['+0.11', '-0.39', '-0.15', '+0.11', 0]
['+0.10', '-0.20', '-0.14', '-0.22', 1]
['+0.10', '-0.39', '-0.15', '+0.02', 0]
['+0.09', '-0.58', '-0.15', '+0.27', 0]
['+0.08', '-0.39', '-0.14', '-0.07', 1]
['+0.07', '-0.58', '-0.14', '+0.18', 0]
['+0.06', '-0.38', '-0.14', '-0.16', 1]
['+0.05', '-0.58', '-0.14', '+0.09', 0]
['+0.04', '-0.77', '-0.14', '+0.33', 0]
['+0.02', '-0.57', '-0.14', '-0.00', 1]
['+0.01', '-0.76', '-0.14', '+0.24', 0]
['-0.00', '-0.57', '-0.13', '-0.09', 1]
['-0.02', '-0.76', '-0.13', '+0.16', 0]
['-0.03', '-0.95', '-0.13', '+0.41', 0]
['-0.05', '-0.76', '-0.12', '+0.08', 1]
['-0.06', '-0.95', '-0.12', '+0.33', 0]
['-0.08', '-0.75', '-0.11', '+0.00', 1]
['-0.10', '-0.95', '-0.11', '+0.26', 0]
['-0.12', '-1.14', '-0.11', '+0.51', 0]
['-0.14', '-0.94', '-0.10', '+0.19', 1]
['-0.16', '-1.14', '-0.09', '+0.45', 0]
['-0.18', '-0.94', '-0.08', '+0.13', 1]
['-0.20', '-1.13', '-0.08', '+0.40', 0]
['-0.03', '+0.19', '+0.03', '-0.24', 1]
['-0.03', '-0.00', '+0.02', '+0.06', 0]
['-0.03', '+0.19', '+0.03', '-0.22', 1]
['-0.03', '-0.00', '+0.02', '+0.08', 0]
['-0.03', '+0.19', '+0.02', '-0.21', 1]
['-0.02', '-0.00', '+0.02', '+0.09', 0]
['-0.02', '+0.19', '+0.02', '-0.20', 1]
['-0.02', '-0.00', '+0.02', '+0.10', 0]
['-0.02', '+0.19', '+0.02', '-0.19', 1]
['-0.01', '-0.00', '+0.02', '+0.11', 0]
['-0.01', '+0.19', '+0.02', '-0.17', 1]
['-0.01', '-0.00', '+0.01', '+0.12', 0]
['-0.01', '+0.19', '+0.02', '-0.16', 1]
['-0.01', '-0.01', '+0.01', '+0.13', 0]
['-0.01', '+0.19', '+0.02', '-0.16', 1]
['-0.00', '-0.01', '+0.01', '+0.14', 0]
['-0.00', '+0.19', '+0.02', '-0.15', 1]
['+0.00', '-0.01', '+0.01', '+0.15', 0]
['+0.00', '+0.19', '+0.02', '-0.14', 1]
['+0.00', '-0.01', '+0.01', '+0.16', 0]
['+0.00', '+0.19', '+0.02', '-0.13', 1]
['+0.01', '-0.01', '+0.01', '+0.17', 0]
['+0.01', '+0.19', '+0.02', '-0.12', 1]
['+0.01', '-0.01', '+0.01', '+0.18', 0]
['+0.01', '+0.19', '+0.02', '-0.11', 1]
['+0.02', '-0.01', '+0.02', '+0.19', 0]
['+0.01', '+0.19', '+0.02', '-0.10', 1]
['+0.02', '-0.01', '+0.02', '+0.20', 0]
['+0.02', '+0.19', '+0.02', '-0.09', 1]
['+0.02', '-0.01', '+0.02', '+0.21', 0]
['+0.02', '+0.19', '+0.02', '-0.07', 1]
['+0.03', '-0.01', '+0.02', '+0.23', 0]
['+0.03', '+0.19', '+0.03', '-0.06', 1]
['+0.03', '+0.38', '+0.03', '-0.34', 1]
['+0.04', '+0.18', '+0.02', '-0.04', 0]
['+0.04', '+0.38', '+0.02', '-0.33', 1]
['+0.05', '+0.18', '+0.01', '-0.03', 0]
['+0.05', '+0.38', '+0.01', '-0.32', 1]
['+0.06', '+0.18', '+0.00', '-0.02', 0]
['+0.06', '+0.38', '+0.00', '-0.32', 1]
['+0.07', '+0.18', '-0.00', '-0.02', 0]
['+0.07', '+0.38', '-0.00', '-0.32', 1]
['+0.08', '+0.18', '-0.01', '-0.02', 0]
['+0.09', '+0.38', '-0.01', '-0.32', 1]
['+0.09', '+0.18', '-0.02', '-0.03', 0]
['+0.10', '+0.38', '-0.02', '-0.33', 1]
['+0.10', '+0.18', '-0.02', '-0.04', 0]
['+0.11', '+0.38', '-0.02', '-0.34', 1]
['+0.12', '+0.19', '-0.03', '-0.06', 0]
['+0.12', '-0.01', '-0.03', '+0.23', 0]
['+0.12', '+0.19', '-0.03', '-0.08', 1]
['+0.12', '-0.01', '-0.03', '+0.21', 0]
['+0.12', '+0.19', '-0.02', '-0.09', 1]
['+0.13', '-0.01', '-0.03', '+0.19', 0]
['+0.13', '+0.19', '-0.02', '-0.11', 1]
['+0.13', '-0.01', '-0.02', '+0.18', 0]
['+0.13', '+0.19', '-0.02', '-0.12', 1]
['+0.13', '-0.01', '-0.02', '+0.16', 0]
['+0.13', '+0.19', '-0.02', '-0.14', 1]
['+0.14', '-0.01', '-0.02', '+0.15', 0]
['+0.14', '+0.19', '-0.02', '-0.15', 1]
['+0.14', '-0.01', '-0.02', '+0.13', 0]
['+0.14', '+0.19', '-0.02', '-0.17', 1]
['+0.14', '-0.00', '-0.02', '+0.12', 0]
['+0.14', '+0.19', '-0.02', '-0.18', 1]
['+0.15', '-0.00', '-0.03', '+0.11', 0]
['+0.15', '+0.19', '-0.02', '-0.19', 1]
['+0.15', '-0.00', '-0.03', '+0.09', 0]
['+0.15', '+0.19', '-0.03', '-0.21', 1]
['+0.16', '-0.00', '-0.03', '+0.07', 0]
['+0.16', '+0.19', '-0.03', '-0.23', 1]
['+0.16', '-0.00', '-0.03', '+0.06', 0]
['+0.16', '+0.19', '-0.03', '-0.25', 1]
['+0.16', '-0.00', '-0.04', '+0.04', 0]
['+0.16', '+0.19', '-0.04', '-0.27', 1]
['+0.17', '+0.00', '-0.04', '+0.01', 0]
['+0.17', '+0.20', '-0.04', '-0.29', 1]
['+0.17', '+0.00', '-0.05', '-0.01', 0]
['+0.17', '+0.20', '-0.05', '-0.32', 1]
['+0.18', '+0.00', '-0.05', '-0.04', 0]
['+0.18', '-0.19', '-0.05', '+0.23', 0]
['+0.17', '+0.00', '-0.05', '-0.08', 1]
['+0.17', '-0.19', '-0.05', '+0.20', 0]
['+0.17', '+0.01', '-0.05', '-0.11', 1]
['+0.17', '-0.19', '-0.05', '+0.17', 0]
['+0.16', '+0.01', '-0.05', '-0.14', 1]
['+0.16', '-0.19', '-0.05', '+0.14', 0]
['+0.16', '+0.01', '-0.05', '-0.17', 1]
['+0.16', '-0.19', '-0.05', '+0.11', 0]
['+0.16', '+0.01', '-0.05', '-0.20', 1]
['+0.16', '-0.18', '-0.05', '+0.08', 0]
['+0.15', '+0.01', '-0.05', '-0.23', 1]
['+0.15', '-0.18', '-0.05', '+0.05', 0]
['+0.15', '+0.01', '-0.05', '-0.26', 1]
['+0.15', '-0.18', '-0.06', '+0.01', 0]
['+0.15', '-0.38', '-0.06', '+0.29', 0]
['+0.14', '-0.18', '-0.05', '-0.02', 1]
['+0.14', '-0.37', '-0.05', '+0.25', 0]
['+0.13', '-0.18', '-0.05', '-0.06', 1]
['+0.12', '-0.37', '-0.05', '+0.22', 0]
['+0.12', '-0.18', '-0.04', '-0.09', 1]
['+0.11', '-0.37', '-0.05', '+0.19', 0]
['+0.11', '-0.18', '-0.04', '-0.12', 1]
['+0.10', '-0.37', '-0.04', '+0.16', 0]
['+0.10', '-0.17', '-0.04', '-0.14', 1]
['+0.09', '-0.37', '-0.04', '+0.14', 0]
['+0.08', '-0.17', '-0.04', '-0.17', 1]
['+0.08', '-0.37', '-0.04', '+0.11', 0]
['+0.07', '-0.17', '-0.04', '-0.20', 1]
['+0.07', '-0.37', '-0.05', '+0.08', 0]
['+0.06', '-0.17', '-0.05', '-0.23', 1]
['+0.06', '-0.37', '-0.05', '+0.05', 0]
['+0.05', '-0.56', '-0.05', '+0.33', 0]
['+0.04', '-0.36', '-0.04', '+0.02', 1]
['+0.03', '-0.56', '-0.04', '+0.30', 0]
['+0.02', '-0.36', '-0.04', '-0.00', 1]
['+0.02', '-0.56', '-0.04', '+0.28', 0]
['+0.00', '-0.36', '-0.03', '-0.03', 1]
['-0.00', '-0.56', '-0.03', '+0.26', 0]
['-0.01', '-0.36', '-0.03', '-0.05', 1]
['-0.02', '-0.56', '-0.03', '+0.24', 0]
['-0.03', '-0.36', '-0.02', '-0.06', 1]
['-0.04', '-0.55', '-0.02', '+0.22', 0]
['-0.05', '-0.36', '-0.02', '-0.08', 1]
['-0.06', '-0.55', '-0.02', '+0.21', 0]
['-0.07', '-0.36', '-0.02', '-0.09', 1]
['-0.08', '-0.55', '-0.02', '+0.20', 0]
['-0.09', '-0.36', '-0.01', '-0.10', 1]
['-0.09', '-0.55', '-0.02', '+0.19', 0]
['-0.11', '-0.36', '-0.01', '-0.11', 1]
['-0.11', '-0.55', '-0.01', '+0.18', 0]
['-0.12', '-0.36', '-0.01', '-0.12', 1]
['-0.13', '-0.55', '-0.01', '+0.17', 0]
['-0.14', '-0.36', '-0.01', '-0.12', 1]
['-0.15', '-0.55', '-0.01', '+0.17', 0]
['-0.16', '-0.36', '-0.01', '-0.13', 1]
['-0.17', '-0.55', '-0.01', '+0.16', 0]
['-0.18', '-0.36', '-0.01', '-0.14', 1]
['-0.19', '-0.55', '-0.01', '+0.16', 0]
['-0.20', '-0.36', '-0.01', '-0.14', 1]
['-0.20', '-0.55', '-0.01', '+0.15', 0]
['-0.21', '-0.36', '-0.01', '-0.15', 1]
['-0.22', '-0.55', '-0.01', '+0.14', 0]
['-0.23', '-0.36', '-0.01', '-0.15', 1]
['-0.24', '-0.55', '-0.01', '+0.14', 0]
['-0.25', '-0.36', '-0.01', '-0.16', 1]
['-0.26', '-0.55', '-0.01', '+0.13', 0]
['-0.27', '-0.36', '-0.01', '-0.16', 1]
['-0.28', '-0.55', '-0.01', '+0.13', 0]
['-0.29', '-0.36', '-0.01', '-0.17', 1]
['-0.29', '-0.55', '-0.01', '+0.12', 0]
['-0.31', '-0.35', '-0.01', '-0.17', 1]
['-0.31', '-0.55', '-0.01', '+0.12', 0]
['-0.32', '-0.35', '-0.01', '-0.18', 1]
['-0.33', '-0.55', '-0.01', '+0.11', 0]
['-0.34', '-0.35', '-0.01', '-0.19', 1]
['-0.35', '-0.55', '-0.02', '+0.10', 0]
['-0.36', '-0.35', '-0.01', '-0.20', 1]
['-0.37', '-0.55', '-0.02', '+0.09', 0]
['-0.38', '-0.74', '-0.02', '+0.38', 0]
['-0.39', '-0.55', '-0.01', '+0.08', 1]
['-0.40', '-0.74', '-0.01', '+0.37', 0]
['-0.42', '-0.55', '+0.00', '+0.08', 1]
['-0.43', '-0.74', '+0.00', '+0.37', 0]
['-0.44', '-0.55', '+0.01', '+0.08', 1]
['-0.46', '-0.74', '+0.01', '+0.37', 0]
['-0.47', '-0.55', '+0.02', '+0.08', 1]
['-0.48', '-0.74', '+0.02', '+0.38', 0]
['-0.50', '-0.55', '+0.03', '+0.10', 1]
['-0.51', '-0.35', '+0.03', '-0.19', 1]
['-0.51', '-0.55', '+0.03', '+0.12', 0]
['-0.52', '-0.36', '+0.03', '-0.17', 1]
['-0.53', '-0.55', '+0.03', '+0.13', 0]
['-0.54', '-0.36', '+0.03', '-0.15', 1]
['-0.55', '-0.55', '+0.03', '+0.15', 0]
['-0.56', '-0.36', '+0.03', '-0.14', 1]
['-0.57', '-0.55', '+0.03', '+0.17', 0]
['-0.58', '-0.36', '+0.03', '-0.12', 1]
['-0.59', '-0.55', '+0.03', '+0.18', 0]
['-0.60', '-0.36', '+0.03', '-0.10', 1]
['-0.60', '-0.55', '+0.03', '+0.20', 0]
['-0.62', '-0.36', '+0.03', '-0.08', 1]
['-0.62', '-0.55', '+0.03', '+0.22', 0]
['-0.63', '-0.36', '+0.03', '-0.06', 1]
['-0.64', '-0.56', '+0.03', '+0.24', 0]
['-0.65', '-0.36', '+0.04', '-0.04', 1]
['-0.66', '-0.56', '+0.04', '+0.26', 0]
['-0.67', '-0.36', '+0.04', '-0.02', 1]
['-0.68', '-0.56', '+0.04', '+0.29', 0]
['-0.69', '-0.36', '+0.05', '+0.01', 1]
['-0.70', '-0.56', '+0.05', '+0.32', 0]
['-0.71', '-0.36', '+0.05', '+0.04', 1]
['-0.71', '-0.56', '+0.06', '+0.35', 0]
['-0.73', '-0.37', '+0.06', '+0.07', 1]
['-0.73', '-0.17', '+0.06', '-0.20', 1]
['-0.74', '-0.37', '+0.06', '+0.11', 0]
['-0.74', '-0.17', '+0.06', '-0.16', 1]
